	EdgesPerVertex	SCALE	edges	graphuloMult	mrTime_10	nodes	numpp	splitCompact	splitPoints	splitPoints2	splitPointsR	splitSizes	splitSizes2	splitSizesR	tAssoc	tFile	tInsert	tMerge	tStat
DHB_10_TgraphAdj	16	10	27310			884									0.47607	0.08351	1.521	1.2175	0.27894
DHB_11_TgraphAdj	16	11	56350			1733									0.78741	0.13035	1.3406	1.2493	0.29125
DHB_12_TgraphAdj	16	12	115806			3342									1.4079	0.22463	2.0506	1.4626	0.32898
DHB_13_TgraphAdj	16	13	237021			6441									2.7172	0.41355	3.0757	1.509	0.47552
DHB_14_TgraphAdj	16	14	481986			12503									5.4578	0.79156	5.7673	2.41	1.3218
DHB_15_TgraphAdj	16	15	979593			24281									10.925	1.5839	11.518	4.154	1.1716
DHB_16_TgraphAdj	16	16	1982629			46860									22.119	3.2398	23.005	7.4917	2.1599
DHB_17_TgraphAdj	16	17	4005768			90028									45.338	6.8626	42.898	12.402	3.4461
DHB_18_TgraphAdj	16	18	7921251			174205									159.513	14.643	89.647	27.298	6.5616
DH_10_TgraphAdj	16	10	27305			893									0.50184	0.096766	0.68803	1.3634	0.20532
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt16				1.2288	55.676		816423	13.834	120,141,170,21,260,29,33,386,457,515,545,604,665,769,835,	122,140,172,21,261,290,33,385,455,516,545,601,67,757,84,	120,141,170,21,260,29,33,386,457,515,545,604,665,769,835,	759,784,738,822,705,747,899,644,729,768,774,727,761,822,693,766,	757,760,758,787,771,718,881,639,743,771,770,731,819,693,765,759,	37255,47660,49293,52468,49205,49790,54694,45971,57151,43736,52393,57812,54826,59626,49959,54584,					
DH_10_TgraphAdj_tXDHB_10_TgraphAdj_nt8				2.7767	49.319		816423	45.027	141,21,29,386,515,607,769,	140,21,290,385,516,603,76,	141,21,29,386,515,607,769,	1543,1560,1452,1543,1497,1507,1577,1459,	1517,1545,1489,1520,1514,1506,1517,1514,	84915,101761,98995,100665,100887,110418,114239,104543,					
DH_11_TgraphAdj	16	11	56400			1736									0.79314	0.14331	1.0789	1.4777	0.21424
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt16				2.0707	54.445		2341751	7.6333	1033,1093,1220,133,1538,17,2,261,3,37,481,529,6,689,802,	1033,1096,1226,133,1537,17,2,261,3,37,49,529,6,681,806,	1033,1093,1220,133,1538,17,2,261,3,37,481,529,6,689,802,	1678,1549,1567,1665,1557,1750,1519,1613,1576,1583,1511,1713,1550,1528,1599,1595,	1650,1545,1598,1640,1568,1805,1467,1548,1565,1612,1623,1591,1573,1573,1600,1607,	106274,144028,161175,146984,166934,175825,143270,137077,133440,148294,152231,131160,156870,131660,148680,157849,					
DH_11_TgraphAdj_tXDHB_11_TgraphAdj_nt8				9.5036	47.731		2341751	42.372	1093,133,17,261,37,529,689,	1096,133,17,261,37,529,682,	1093,133,17,261,37,529,689,	3227,3232,3307,3132,3159,3224,3078,3194,	3195,3238,3373,3015,3177,3214,3155,3198,	250302,308159,342759,280347,281734,283391,288530,306529,					
DH_12_TgraphAdj	16	12	116096			3330									1.4069	0.22916	1.6513	1.5829	0.31854
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt16				7.3046	56.354		6768259	3.6757	1046,1171,134,1601,195,2081,2218,2563,273,3089,34,411,525,642,770,	1044,1167,133,1581,193,2075,2209,2561,27,3077,3393,404,521,641,769,	1046,1171,134,1601,195,2081,2218,2563,273,3089,34,411,525,642,770,	3357,3362,3350,3343,3365,3374,3303,3368,3492,3250,3294,3349,3347,3395,3353,3309,	3350,3322,3375,3295,3355,3324,3371,3375,3305,3284,3353,3316,3358,3452,3223,3303,	306436,460867,417933,495108,437188,359279,450435,464771,435134,417218,426017,452945,379263,432938,399646,433081,					
DH_12_TgraphAdj_tXDHB_12_TgraphAdj_nt8				6.9203	52.412		6768259	38.445	1171,1601,2081,2563,3089,411,642,	1167,1581,2075,2561,3077,404,641,	1171,1601,2081,2563,3089,411,642,	6719,6693,6739,6671,6742,6643,6742,6662,	6672,6670,6679,6746,6589,6669,6810,6526,	767303,913041,796467,915206,852352,878962,812201,832727,					
DH_13_TgraphAdj	16	13	237070			6466									2.6571	0.44433	3.0994	1.896	0.49198
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt16				20.187	62.903		18874728	7.1717	1081,130,1602,2049,2177,2568,289,33,4098,4230,4645,516,57,643,73,	1078,13,1605,2049,2177,2565,2881,33,4098,4227,4638,5154,5699,6429,73,	1081,130,1602,2049,2177,2568,289,33,4098,4230,4645,516,57,643,73,	6973,7186,6654,7172,6783,6859,7125,6785,6944,6918,6912,7021,6927,6967,6873,6902,	6935,7006,6872,7334,6779,6701,6905,7078,7032,6699,6922,6961,6911,6927,7036,6839,	890186,492363,515541,1122399,1106542,1295033,1190848,1106095,1207174,1118247,1337179,1132482,862349,1304545,1235631,1218340,					
DH_13_TgraphAdj_tXDHB_13_TgraphAdj_nt8				16.206	70.313		18874728	40.602	130,2049,2568,33,4230,516,643,	13,2049,2565,33,4227,5154,643,	130,2049,2568,33,4230,516,643,	14159,13826,13642,13910,13862,13933,13894,13775,	13941,14206,13480,13983,13731,13883,13936,13777,	2094478,2277276,2401575,2296943,2325421,2469661,2555403,2453971,					
DH_14_TgraphAdj	16	14	482372			12543									5.3424	0.81004	5.6098	2.8344	0.59796
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt16				55.056	81.704		53205300	4.8844	10513,121,13219,1573,2057,2345,2853,35,4161,4629,525,6209,731,8265,8789,	10509,12097,13201,1574,2058,2339,2849,3505,4161,4635,525,6197,73,8262,8798,	10513,121,13219,1573,2057,2345,2853,35,4161,4629,525,6209,731,8265,8789,	14280,14281,14279,14289,14311,14258,14274,14351,14579,13904,14288,14417,14130,14310,14253,14280,	14257,14253,14258,14258,14323,14190,14241,14253,14451,14070,14335,14180,14257,14262,14223,14253,	2783113,2869695,1778485,3024958,2879781,2477685,1648826,3153421,1304691,1966832,1803735,2764157,2018571,3159570,2669756,2889295,					
DH_14_TgraphAdj_tXDHB_14_TgraphAdj_nt8				67.165	124.295		53205300	38.729	121,1573,2345,35,4629,6209,8265,	12097,1574,2339,3505,4635,6197,8262,	121,1573,2345,35,4629,6209,8265,	28561,28568,28569,28625,28483,28705,28440,28533,	28510,28516,28513,28494,28521,28515,28519,28476,	4778384,5633982,4803894,4600936,3306889,5146082,5237846,5703133,					
DH_15_TgraphAdj	16	15	979038			24102									10.829	1.6241	11.325	4.2184	0.97583
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt16				175.598	143.147		146709902	7.5776	1089,12881,1577,16705,18017,20499,2181,2503,282,3473,4238,5137,6186,801,8542,	1089,129,15908,16706,18081,2050,2180,25025,28225,3489,4233,5134,6181,802,8547,	1089,12881,1577,16705,18017,20499,2181,2503,282,3473,4238,5137,6186,801,8542,	29653,28866,29257,29457,29023,29298,29353,29102,29252,29243,29257,29405,29096,29262,29229,29251,	29701,30459,27656,29327,29234,29811,28730,29263,29269,29282,29303,29253,29254,29341,29218,29259,	5512641,6799245,6758164,5717311,6341250,5696112,6048799,7023105,6281445,5555705,4856601,7269921,5255018,5604362,5356448,6908786,					
DH_15_TgraphAdj_tXDHB_15_TgraphAdj_nt8				206.178	363.731		146709902	43.879	12881,16705,20499,2503,3473,5137,801,	129,16706,2050,25025,3489,5134,802,	12881,16705,20499,2503,3473,5137,801,	58519,58714,58321,58455,58495,58662,58358,58480,	60160,56983,59045,57993,58551,58556,58595,58477,	12389623,11371263,11482216,14086360,14767052,12736699,11541146,10847415,					
DH_16_TgraphAdj	16	16	1981541			46830									21.869	3.279	21.767	6.9177	1.7299
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt16				517.746	338.642		399831513	13.472	1154,14473,167,18689,211,25,3,33041,35085,402,4290,49345,54,6550,8330,	1153,14449,16690,18657,21121,25,3,33037,35082,401,4289,49305,5385,6507,833,	1154,14473,167,18689,211,25,3,33041,35085,402,4290,49345,54,6550,8330,	59749,59618,59775,59812,59501,59645,62001,57512,59456,59688,59690,59708,59655,59613,59762,59584,	59858,59562,59733,59676,59828,59777,61925,57294,59734,60037,59692,59384,59705,59683,59999,59419,	10632085,13874553,11441088,15992924,16003255,14985951,14997253,9476897,15798500,22700720,14034991,16868698,15860772,17480623,9371600,15591589,					
DH_16_TgraphAdj_tXDHB_16_TgraphAdj_nt8				607.73	1938.392		399831513	49.491	14473,18689,25,33041,402,49345,6550,	14449,18657,25,33037,401,49305,6509,	14473,18689,25,33041,402,49345,6550,	119367,119587,119146,119513,119144,119398,119268,119346,	119420,119409,119605,119219,119771,119076,119393,119413,	23976842,32161981,31504946,27709957,36595241,30580182,35192442,25556427,					
DH_17_TgraphAdj	16	17	4005699			90297									45.532	6.8564	43.589	12.483	3.0692
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt16				1686.305	1286.462		1088015299	42.548	11,1345,16897,2049,24585,30757,33795,3844,43201,51277,6218,6658,71729,81971,8725,	1099,13446,16897,20489,24582,3075,33795,3849,43265,5129,6234,66591,71761,8198,873,	11,1345,16897,2049,24585,30757,33795,3844,43201,51277,6218,6658,71729,81971,8725,	122335,120732,121296,124892,117932,121397,121776,121087,121448,121394,121442,121532,121328,121419,121504,121345,	121455,121424,122230,120756,121479,121798,121316,121068,121485,121779,121002,121431,121484,121600,121232,121406,	41779429,42455836,35604300,29613726,40728644,36060528,34271657,56318310,29086085,49167443,37103299,25841352,57286133,51520572,46833176,44639375,					
DH_17_TgraphAdj_tXDHB_17_TgraphAdj_nt8				1809.451	1949.143		1088015299	51.913	1345,2049,30757,3844,51277,6658,81971,	13446,20489,3075,3849,5129,66591,8198,	1345,2049,30757,3844,51277,6658,81971,	243067,246188,239329,242863,242842,242974,242747,242849,	242879,242986,243277,242384,243264,242433,243084,242638,	79040501,62841000,67023597,69712841,74617671,66272155,112828272,82574105,					
DH_18_TgraphAdj	16	18	7939576			174006									94.374	13.926	86.953	24.326	5.2756
DH_18_TgraphAdj_tXDHB_18_TgraphAdj_nt8				5813.447	2572.96		2935046649	69.359	132,158377,196803,258,387,577,74261,	132,158532,196772,258,3860,57641,74252,	132,158377,196803,258,387,577,74261,	492920,492006,492481,493375,492171,493495,490848,492415,	492626,492114,492400,494255,490456,492376,492377,492363,	175904939,296127849,210679273,224296661,174743860,177455089,176332515,243756175,					
